sample,category,value
case13_S4,Purity,0.18164
case4_S5,Purity,0.26541
case2_S10,Purity,0.1544
case15_S3,Purity,0.23966
case4_S4,Purity,0.25625
case15_S1,Purity,0.25525
case4_S3,Purity,0.35483
case12_S1,Purity,0.2475
case3_S2,Purity,0.22616
case12_S2,Purity,0.80759
case12_S5,Purity,0.7695
case10_S2,Purity,0.69984
case4_S1,Purity,0.238
case10_S5,Purity,0.66447
case3_S1,Purity,0.25104
case3_S4,Purity,0.25731
case12_S3,Purity,0.27753
case2_S4,Purity,0.2208
case2_S2,Purity,0.53312
case15_S4,Purity,0.49816
case16_S2,Purity,0.25116
case7_S1,Purity,0.28215
case7_S5,Purity,0.6107
case7_S4,Purity,0.46068
case9_S4,Purity,0.18088
case6_S7,Purity,0.27811
case3_S5,Purity,0.18449
case11_S8,Purity,0.12456
case4_S2,Purity,0.2898
case15_S10,Purity,0.35632
case13_S3,Purity,0.1906
case16_S4,Purity,0.22462
case15_S11,Purity,0.20223
case9_S6,Purity,0.2304
case16_S5,Purity,0.18297
case6_S8,Purity,0.315
case13_S5,Purity,0.2123
case6_S9,Purity,0.2535
case9_S2,Purity,0.21406
case11_S7,Purity,0.26628
case9_S3,Purity,0.26628
